Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(2, 6)","(4, 1)",White - Tree AI,1,0,37,4,33,5910
2,Tree AI,Random AI,"(2, 4)","(5, 6)",White - Tree AI,2,0,39,1,38,6195
3,Random AI,Tree AI,"(3, 3)","(5, 6)",Black - Tree AI,3,0,4,38,-34,3358
4,Tree AI,Random AI,"(3, 0)","(4, 4)",Stalemate,3.5,0.5,37,1,36,3486
5,Random AI,Tree AI,"(2, 5)","(4, 0)",Stalemate,4.0,1.0,0,34,-34,5865
6,Random AI,Tree AI,"(2, 0)","(5, 3)",Black - Tree AI,5.0,1.0,0,38,-38,3285
7,Tree AI,Random AI,"(3, 1)","(4, 4)",Stalemate,5.5,1.5,38,0,38,5206
8,Tree AI,Random AI,"(3, 1)","(4, 2)",White - Tree AI,6.5,1.5,36,12,24,3288
9,Tree AI,Random AI,"(2, 1)","(4, 0)",White - Tree AI,7.5,1.5,38,17,21,5591
10,Tree AI,Random AI,"(2, 1)","(5, 4)",Stalemate,8.0,2.0,32,0,32,7680
11,Tree AI,Random AI,"(3, 0)","(5, 7)",White - Tree AI,9.0,2.0,39,17,22,5066
12,Tree AI,Random AI,"(3, 3)","(5, 3)",Stalemate,9.5,2.5,38,0,38,7830
13,Tree AI,Random AI,"(3, 1)","(5, 5)",White - Tree AI,10.5,2.5,39,24,15,1911
14,Random AI,Tree AI,"(2, 7)","(5, 6)",Black - Tree AI,11.5,2.5,39,39,0,172
15,Random AI,Tree AI,"(2, 5)","(4, 1)",Stalemate,12.0,3.0,0,38,-38,2629
16,Random AI,Tree AI,"(3, 1)","(5, 1)",Black - Tree AI,13.0,3.0,8,38,-30,3612
17,Tree AI,Random AI,"(2, 5)","(4, 6)",White - Tree AI,14.0,3.0,39,8,31,4415
18,Random AI,Tree AI,"(2, 4)","(4, 3)",Stalemate,14.5,3.5,0,35,-35,3205
19,Tree AI,Random AI,"(2, 5)","(5, 3)",White - Tree AI,15.5,3.5,38,14,24,3118
20,Random AI,Tree AI,"(3, 4)","(4, 3)",Black - Tree AI,16.5,3.5,5,39,-34,2451
21,Random AI,Tree AI,"(3, 0)","(4, 3)",Stalemate,17.0,4.0,2,38,-36,15513
22,Random AI,Tree AI,"(2, 5)","(4, 7)",Black - Tree AI,18.0,4.0,6,38,-32,3755
23,Random AI,Tree AI,"(2, 3)","(5, 3)",Black - Tree AI,19.0,4.0,3,38,-35,4035
24,Tree AI,Random AI,"(3, 2)","(4, 2)",Stalemate,19.5,4.5,35,1,34,10710
25,Tree AI,Random AI,"(2, 2)","(4, 0)",White - Tree AI,20.5,4.5,39,38,1,624
26,Random AI,Tree AI,"(2, 3)","(4, 7)",Black - Tree AI,21.5,4.5,5,38,-33,3224
27,Tree AI,Random AI,"(2, 6)","(4, 5)",White - Tree AI,22.5,4.5,39,39,0,203
28,Random AI,Tree AI,"(2, 5)","(4, 5)",Black - Tree AI,23.5,4.5,7,38,-31,3479
29,Random AI,Tree AI,"(3, 3)","(5, 5)",Black - Tree AI,24.5,4.5,1,39,-38,4893
30,Tree AI,Random AI,"(3, 5)","(4, 7)",Stalemate,25.0,5.0,39,0,39,5802
31,Tree AI,Random AI,"(2, 6)","(5, 2)",White - Tree AI,26.0,5.0,38,6,32,10555
32,Tree AI,Random AI,"(3, 4)","(5, 2)",White - Tree AI,27.0,5.0,39,0,39,5292
33,Random AI,Tree AI,"(2, 0)","(5, 2)",Black - Tree AI,28.0,5.0,16,37,-21,3183
34,Random AI,Tree AI,"(3, 7)","(4, 4)",Black - Tree AI,29.0,5.0,9,39,-30,2862
35,Random AI,Tree AI,"(3, 5)","(5, 3)",Black - Tree AI,30.0,5.0,5,39,-34,2354
36,Random AI,Tree AI,"(3, 7)","(4, 7)",Stalemate,30.5,5.5,0,39,-39,5335
37,Random AI,Tree AI,"(3, 3)","(5, 1)",Stalemate,31.0,6.0,1,35,-34,9417
38,Tree AI,Random AI,"(3, 2)","(5, 7)",White - Tree AI,32.0,6.0,39,1,38,4022
39,Random AI,Tree AI,"(3, 5)","(5, 7)",Black - Tree AI,33.0,6.0,2,37,-35,2616
40,Random AI,Tree AI,"(3, 7)","(5, 2)",Black - Tree AI,34.0,6.0,19,39,-20,2931
41,Tree AI,Random AI,"(2, 2)","(5, 1)",White - Tree AI,35.0,6.0,35,0,35,3820
42,Tree AI,Random AI,"(2, 5)","(4, 2)",White - Tree AI,36.0,6.0,39,2,37,3418
43,Tree AI,Random AI,"(3, 6)","(4, 1)",White - Tree AI,37.0,6.0,38,12,26,5261
44,Tree AI,Random AI,"(3, 5)","(4, 4)",White - Tree AI,38.0,6.0,38,3,35,6020
