Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
68,Tree AI,Random AI,"(3, 1)","(4, 7)",White - Tree AI,55.5,12.5,38,3,35,6119
69,Random AI,Tree AI,"(2, 5)","(4, 5)",Black - Tree AI,56.5,12.5,22,38,-16,2344
70,Tree AI,Random AI,"(2, 5)","(5, 0)",White - Tree AI,57.5,12.5,39,24,15,4081
71,Tree AI,Random AI,"(3, 2)","(5, 0)",White - Tree AI,58.5,12.5,39,4,35,6127
72,Random AI,Tree AI,"(2, 4)","(5, 0)",Black - Tree AI,59.5,12.5,31,39,-8,1078
73,Tree AI,Random AI,"(3, 3)","(5, 4)",White - Tree AI,60.5,12.5,37,2,35,3828
74,Tree AI,Random AI,"(2, 1)","(5, 2)",White - Tree AI,61.5,12.5,38,21,17,2473
75,Tree AI,Random AI,"(3, 4)","(4, 6)",White - Tree AI,62.5,12.5,38,10,28,10645
76,Tree AI,Random AI,"(3, 6)","(4, 4)",White - Tree AI,63.5,12.5,39,2,37,5421
77,Random AI,Tree AI,"(2, 7)","(5, 1)",Black - Tree AI,64.5,12.5,3,34,-31,5117
78,Tree AI,Random AI,"(2, 2)","(5, 0)",White - Tree AI,65.5,12.5,37,4,33,3950
79,Tree AI,Random AI,"(3, 4)","(4, 7)",White - Tree AI,66.5,12.5,36,16,20,2460
80,Random AI,Tree AI,"(2, 6)","(4, 6)",Stalemate,67.0,13.0,0,38,-38,5360
81,Random AI,Tree AI,"(2, 2)","(4, 5)",Black - Tree AI,68.0,13.0,5,38,-33,2924
82,Random AI,Tree AI,"(3, 1)","(5, 0)",Stalemate,68.5,13.5,0,38,-38,6326
83,Tree AI,Random AI,"(3, 4)","(5, 2)",White - Tree AI,69.5,13.5,37,13,24,2293
84,Random AI,Tree AI,"(2, 0)","(4, 4)",Stalemate,70.0,14.0,1,35,-34,4605
85,Random AI,Tree AI,"(3, 0)","(4, 5)",Stalemate,70.5,14.5,2,39,-37,4420
86,Tree AI,Random AI,"(3, 4)","(5, 7)",White - Tree AI,71.5,14.5,38,2,36,7584
87,Random AI,Tree AI,"(2, 5)","(5, 6)",Black - Tree AI,72.5,14.5,4,36,-32,5270
88,Tree AI,Random AI,"(3, 7)","(5, 5)",White - Tree AI,73.5,14.5,38,30,8,5351
89,Random AI,Tree AI,"(3, 6)","(5, 6)",Black - Tree AI,74.5,14.5,29,39,-10,1017
90,Random AI,Tree AI,"(2, 3)","(5, 1)",Stalemate,75.0,15.0,0,37,-37,4734
91,Tree AI,Random AI,"(3, 2)","(4, 2)",White - Tree AI,76.0,15.0,38,25,13,1221
92,Tree AI,Random AI,"(3, 1)","(4, 0)",White - Tree AI,77.0,15.0,39,6,33,5006
93,Tree AI,Random AI,"(2, 0)","(5, 3)",White - Tree AI,78.0,15.0,38,2,36,5454
94,Random AI,Tree AI,"(2, 7)","(4, 1)",Black - Tree AI,79.0,15.0,37,39,-2,1707
95,Random AI,Tree AI,"(3, 3)","(4, 2)",Black - Tree AI,80.0,15.0,13,38,-25,4676
96,Tree AI,Random AI,"(3, 4)","(4, 2)",White - Tree AI,81.0,15.0,38,3,35,7758
97,Random AI,Tree AI,"(2, 3)","(5, 4)",Stalemate,81.5,15.5,0,34,-34,5192
98,Tree AI,Random AI,"(2, 3)","(4, 5)",White - Tree AI,82.5,15.5,36,4,32,9868
99,Tree AI,Random AI,"(2, 5)","(4, 6)",White - Tree AI,83.5,15.5,37,1,36,5413
100,Tree AI,Random AI,"(2, 0)","(5, 4)",White - Tree AI,84.5,15.5,36,3,33,4778
