Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(3, 2)","(5, 1)",White - Tree AI,1,0,37,14,23,2460
2,Tree AI,Random AI,"(2, 5)","(5, 3)",White - Tree AI,2,0,34,2,32,4794
3,Random AI,Tree AI,"(3, 2)","(5, 3)",Black - Tree AI,3,0,4,35,-31,5815
4,Tree AI,Random AI,"(3, 2)","(5, 2)",Stalemate,3.5,0.5,39,0,39,3286
5,Random AI,Tree AI,"(2, 7)","(5, 5)",Black - Tree AI,4.5,0.5,1,35,-34,5165
6,Tree AI,Random AI,"(2, 3)","(4, 4)",White - Tree AI,5.5,0.5,34,12,22,4997
7,Random AI,Tree AI,"(2, 4)","(4, 7)",Black - Tree AI,6.5,0.5,27,38,-11,2862
8,Tree AI,Random AI,"(2, 0)","(5, 0)",White - Tree AI,7.5,0.5,38,1,37,7271
9,Random AI,Tree AI,"(3, 6)","(5, 7)",Black - Tree AI,8.5,0.5,25,34,-9,2673
10,Tree AI,Random AI,"(3, 7)","(4, 2)",Stalemate,9.0,1.0,38,1,37,5610
11,Tree AI,Random AI,"(2, 4)","(5, 7)",White - Tree AI,10.0,1.0,37,6,31,5794
12,Tree AI,Random AI,"(3, 7)","(4, 3)",White - Tree AI,11.0,1.0,38,12,26,3262
13,Random AI,Tree AI,"(3, 3)","(5, 0)",Black - Tree AI,12.0,1.0,6,29,-23,4188
14,Tree AI,Random AI,"(3, 4)","(5, 4)",White - Tree AI,13.0,1.0,38,3,35,3085
15,Tree AI,Random AI,"(3, 5)","(5, 2)",White - Tree AI,14.0,1.0,37,10,27,3554
16,Random AI,Tree AI,"(2, 0)","(5, 7)",Black - Tree AI,15.0,1.0,9,38,-29,6027
17,Random AI,Tree AI,"(3, 6)","(5, 4)",Black - Tree AI,16.0,1.0,11,35,-24,3026
18,Random AI,Tree AI,"(3, 7)","(5, 3)",Black - Tree AI,17.0,1.0,25,37,-12,2457
19,Tree AI,Random AI,"(3, 2)","(5, 5)",White - Tree AI,18.0,1.0,39,24,15,3316
20,Tree AI,Random AI,"(2, 7)","(4, 7)",Stalemate,18.5,1.5,38,0,38,6293
21,Tree AI,Random AI,"(3, 2)","(4, 6)",White - Tree AI,19.5,1.5,28,1,27,9168
22,Random AI,Tree AI,"(2, 4)","(4, 2)",Black - Tree AI,20.5,1.5,5,34,-29,4327
23,Random AI,Tree AI,"(3, 5)","(5, 1)",Black - Tree AI,21.5,1.5,12,38,-26,3496
24,Tree AI,Random AI,"(2, 3)","(4, 3)",White - Tree AI,22.5,1.5,39,38,1,1038
25,Tree AI,Random AI,"(2, 4)","(5, 3)",White - Tree AI,23.5,1.5,39,22,17,6518
26,Tree AI,Random AI,"(3, 0)","(5, 2)",White - Tree AI,24.5,1.5,37,9,28,5721
27,Tree AI,Random AI,"(2, 4)","(4, 3)",White - Tree AI,25.5,1.5,39,11,28,9325
28,Random AI,Tree AI,"(2, 5)","(4, 4)",Stalemate,26.0,2.0,0,26,-26,5789
29,Random AI,Tree AI,"(3, 3)","(5, 7)",Stalemate,26.5,2.5,0,38,-38,3595
30,Tree AI,Random AI,"(2, 1)","(4, 5)",White - Tree AI,27.5,2.5,39,11,28,2796
31,Tree AI,Random AI,"(3, 4)","(5, 0)",White - Tree AI,28.5,2.5,38,4,34,6698
32,Random AI,Tree AI,"(3, 6)","(5, 1)",Black - Tree AI,29.5,2.5,9,38,-29,3606
33,Tree AI,Random AI,"(3, 7)","(5, 7)",White - Tree AI,30.5,2.5,37,12,25,4333
34,Random AI,Tree AI,"(3, 3)","(4, 1)",Black - Tree AI,31.5,2.5,13,37,-24,3798
35,Tree AI,Random AI,"(3, 4)","(4, 1)",Stalemate,32.0,3.0,32,0,32,7711
36,Tree AI,Random AI,"(2, 4)","(5, 5)",White - Tree AI,33.0,3.0,33,4,29,3034
37,Tree AI,Random AI,"(3, 4)","(4, 5)",White - Tree AI,34.0,3.0,39,36,3,1468
38,Tree AI,Random AI,"(2, 2)","(5, 5)",White - Tree AI,35.0,3.0,39,6,33,3643
