Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
62,Random AI,Tree AI,"(3, 7)","(4, 1)",Stalemate,51.5,10.5,1,36,-35,5784
63,Tree AI,Random AI,"(3, 0)","(4, 7)",White - Tree AI,52.5,10.5,38,4,34,6493
64,Tree AI,Random AI,"(3, 7)","(4, 6)",White - Tree AI,53.5,10.5,37,6,31,4858
65,Tree AI,Random AI,"(3, 6)","(5, 2)",White - Tree AI,54.5,10.5,38,3,35,6676
66,Tree AI,Random AI,"(2, 2)","(4, 2)",White - Tree AI,55.5,10.5,33,29,4,1123
67,Random AI,Tree AI,"(3, 2)","(4, 7)",Stalemate,56,11,1,29,-28,6804
68,Tree AI,Random AI,"(2, 2)","(5, 7)",White - Tree AI,57,11,25,1,24,4835
69,Tree AI,Random AI,"(3, 1)","(4, 4)",White - Tree AI,58,11,37,3,34,4696
70,Tree AI,Random AI,"(3, 2)","(5, 1)",Stalemate,58.5,11.5,33,2,31,5043
71,Tree AI,Random AI,"(2, 4)","(5, 7)",Stalemate,59,12,38,1,37,8963
72,Random AI,Tree AI,"(3, 7)","(4, 2)",Black - Tree AI,60,12,2,30,-28,2616
73,Tree AI,Random AI,"(2, 3)","(5, 6)",White - Tree AI,61,12,38,34,4,600
74,Random AI,Tree AI,"(2, 6)","(4, 0)",Black - Tree AI,62,12,1,34,-33,4191
75,Random AI,Tree AI,"(2, 7)","(4, 5)",Black - Tree AI,63,12,27,36,-9,2884
76,Tree AI,Random AI,"(3, 2)","(4, 6)",White - Tree AI,64,12,37,19,18,5805
77,Random AI,Tree AI,"(2, 5)","(4, 0)",Stalemate,64.5,12.5,0,39,-39,5945
78,Tree AI,Random AI,"(3, 1)","(5, 0)",Stalemate,65,13,38,0,38,5681
79,Random AI,Tree AI,"(3, 5)","(4, 6)",Stalemate,65.5,13.5,1,38,-37,3756
80,Tree AI,Random AI,"(2, 1)","(4, 6)",White - Tree AI,66.5,13.5,38,3,35,3732
81,Tree AI,Random AI,"(2, 0)","(5, 6)",Stalemate,67,14,24,0,24,4713
82,Random AI,Tree AI,"(2, 4)","(4, 5)",Black - Tree AI,68,14,30,38,-8,1993
83,Random AI,Tree AI,"(2, 3)","(4, 6)",Black - Tree AI,69,14,1,39,-38,4320
84,Tree AI,Random AI,"(2, 4)","(4, 4)",White - Tree AI,70,14,37,5,32,6483
85,Tree AI,Random AI,"(2, 2)","(4, 1)",White - Tree AI,71,14,38,4,34,6714
86,Tree AI,Random AI,"(2, 7)","(5, 2)",White - Tree AI,72,14,36,6,30,5689
87,Random AI,Tree AI,"(3, 4)","(5, 2)",Black - Tree AI,73,14,11,34,-23,4109
88,Random AI,Tree AI,"(2, 6)","(4, 5)",Black - Tree AI,74,14,16,38,-22,3295
89,Random AI,Tree AI,"(3, 5)","(5, 0)",Black - Tree AI,75,14,4,35,-31,3095
90,Random AI,Tree AI,"(2, 1)","(4, 2)",Stalemate,75.5,14.5,1,39,-38,3817
91,Random AI,Tree AI,"(3, 4)","(4, 3)",Black - Tree AI,76.5,14.5,8,38,-30,2529
92,Tree AI,Random AI,"(3, 4)","(5, 6)",White - Tree AI,77.5,14.5,38,26,12,3035
93,Random AI,Tree AI,"(3, 4)","(4, 1)",Stalemate,78,15,0,39,-39,6190
94,Random AI,Tree AI,"(3, 3)","(4, 6)",Stalemate,78.5,15.5,0,37,-37,5961
95,Tree AI,Random AI,"(3, 0)","(4, 2)",White - Tree AI,79.5,15.5,34,4,30,11727
96,Tree AI,Random AI,"(2, 7)","(4, 2)",Stalemate,80,16,38,1,37,6035
97,Random AI,Tree AI,"(2, 7)","(5, 3)",Stalemate,80.5,16.5,0,30,-30,4393
98,Tree AI,Random AI,"(2, 7)","(5, 7)",White - Tree AI,81.5,16.5,38,12,26,3402
99,Random AI,Tree AI,"(2, 2)","(4, 5)",Black - Tree AI,82.5,16.5,0,38,-38,5270
100,Random AI,Tree AI,"(3, 5)","(5, 1)",Black - Tree AI,83.5,16.5,2,37,-35,4150
