Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(2, 7)","(4, 3)",White - Tree AI,1,0,39,13,26,4884
2,Random AI,Tree AI,"(3, 5)","(5, 7)",Black - Tree AI,2,0,3,37,-34,3074
3,Random AI,Tree AI,"(2, 6)","(5, 3)",Stalemate,2.5,0.5,3,35,-32,3437
4,Tree AI,Random AI,"(3, 7)","(5, 1)",White - Tree AI,3.5,0.5,38,8,30,6584
5,Random AI,Tree AI,"(3, 5)","(4, 4)",Black - Tree AI,4.5,0.5,0,24,-24,7199
6,Random AI,Tree AI,"(3, 3)","(4, 6)",Stalemate,5,1,1,38,-37,4058
7,Random AI,Tree AI,"(3, 2)","(5, 3)",Black - Tree AI,6,1,7,37,-30,5232
8,Random AI,Tree AI,"(2, 0)","(5, 1)",Black - Tree AI,7,1,3,38,-35,5488
9,Random AI,Tree AI,"(3, 5)","(4, 5)",Black - Tree AI,8,1,15,39,-24,3046
10,Tree AI,Random AI,"(2, 5)","(4, 6)",White - Tree AI,9,1,39,0,39,9825
11,Tree AI,Random AI,"(2, 1)","(5, 3)",Stalemate,9.5,1.5,29,0,29,6201
12,Tree AI,Random AI,"(3, 0)","(5, 7)",White - Tree AI,10.5,1.5,39,23,16,2946
13,Tree AI,Random AI,"(3, 7)","(4, 5)",Stalemate,11,2,39,0,39,2451
14,Random AI,Tree AI,"(3, 6)","(5, 6)",Black - Tree AI,12,2,0,36,-36,4203
15,Random AI,Tree AI,"(2, 7)","(4, 1)",Black - Tree AI,13,2,1,39,-38,4062
16,Random AI,Tree AI,"(3, 5)","(4, 6)",Stalemate,13.5,2.5,1,38,-37,6386
17,Tree AI,Random AI,"(2, 0)","(4, 4)",Stalemate,14,3,37,0,37,6481
18,Random AI,Tree AI,"(2, 2)","(5, 2)",Black - Tree AI,15,3,15,38,-23,2785
19,Random AI,Tree AI,"(2, 2)","(5, 7)",Black - Tree AI,16,3,18,38,-20,5189
20,Random AI,Tree AI,"(2, 3)","(4, 3)",Black - Tree AI,17,3,38,39,-1,707
