Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(3, 7)","(4, 7)",Black - Tree AI,1,0,15,38,-23,3791
2,Tree AI,Random AI,"(2, 4)","(4, 4)",Stalemate,1.5,0.5,27,0,27,8533
3,Tree AI,Random AI,"(2, 6)","(5, 5)",White - Tree AI,2.5,0.5,38,1,37,5984
4,Random AI,Tree AI,"(2, 6)","(5, 6)",Black - Tree AI,3.5,0.5,11,37,-26,2929
5,Tree AI,Random AI,"(3, 5)","(5, 3)",Stalemate,4,1,38,0,38,6751
6,Random AI,Tree AI,"(3, 3)","(4, 6)",Black - Tree AI,5,1,15,35,-20,2623
7,Tree AI,Random AI,"(3, 5)","(4, 6)",White - Tree AI,6,1,38,5,33,4970
8,Tree AI,Random AI,"(3, 6)","(4, 1)",Stalemate,6.5,1.5,36,0,36,7173
9,Random AI,Tree AI,"(3, 4)","(4, 5)",Black - Tree AI,7.5,1.5,10,36,-26,3793
10,Random AI,Tree AI,"(2, 7)","(4, 3)",Black - Tree AI,8.5,1.5,11,36,-25,5203
11,Tree AI,Random AI,"(2, 3)","(4, 4)",White - Tree AI,9.5,1.5,36,4,32,5321
12,Tree AI,Random AI,"(3, 6)","(4, 0)",White - Tree AI,10.5,1.5,39,8,31,7768
13,Tree AI,Random AI,"(2, 6)","(4, 1)",White - Tree AI,11.5,1.5,34,3,31,6544
14,Tree AI,Random AI,"(3, 6)","(4, 2)",Stalemate,12,2,38,0,38,5903
15,Tree AI,Random AI,"(2, 5)","(4, 6)",White - Tree AI,13,2,39,1,38,7805
16,Random AI,Tree AI,"(3, 3)","(5, 4)",Black - Tree AI,14,2,1,37,-36,3602
17,Random AI,Tree AI,"(2, 1)","(4, 2)",Black - Tree AI,15,2,25,37,-12,4091
18,Tree AI,Random AI,"(2, 2)","(4, 5)",White - Tree AI,16,2,39,11,28,4237
19,Tree AI,Random AI,"(3, 0)","(5, 6)",White - Tree AI,17,2,38,15,23,3516
20,Tree AI,Random AI,"(2, 3)","(5, 1)",White - Tree AI,18,2,37,1,36,5458
21,Random AI,Tree AI,"(3, 1)","(4, 2)",Black - Tree AI,19,2,11,37,-26,6595
22,Tree AI,Random AI,"(3, 3)","(5, 5)",White - Tree AI,20,2,37,3,34,6559
23,Tree AI,Random AI,"(3, 3)","(4, 7)",White - Tree AI,21,2,38,3,35,6288
24,Random AI,Tree AI,"(2, 4)","(4, 5)",Black - Tree AI,22,2,25,36,-11,2475
25,Random AI,Tree AI,"(2, 0)","(5, 5)",Black - Tree AI,23,2,12,38,-26,1723
26,Tree AI,Random AI,"(3, 6)","(4, 5)",White - Tree AI,24,2,38,0,38,4963
27,Tree AI,Random AI,"(2, 6)","(4, 7)",Stalemate,24.5,2.5,34,0,34,6891
28,Random AI,Tree AI,"(2, 1)","(4, 5)",Stalemate,25,3,0,34,-34,3308
29,Random AI,Tree AI,"(3, 0)","(5, 2)",Black - Tree AI,26,3,25,38,-13,2198
30,Random AI,Tree AI,"(2, 0)","(5, 4)",Black - Tree AI,27,3,7,37,-30,8468
31,Tree AI,Random AI,"(3, 5)","(5, 6)",White - Tree AI,28,3,39,2,37,6853
32,Random AI,Tree AI,"(2, 1)","(5, 2)",Black - Tree AI,29,3,7,36,-29,3820
33,Tree AI,Random AI,"(3, 4)","(4, 7)",White - Tree AI,30,3,27,0,27,6995
34,Random AI,Tree AI,"(3, 0)","(4, 4)",Black - Tree AI,31,3,30,38,-8,2639
35,Tree AI,Random AI,"(2, 5)","(5, 6)",White - Tree AI,32,3,37,1,36,7540
36,Random AI,Tree AI,"(3, 0)","(4, 5)",Black - Tree AI,33,3,6,38,-32,2917
37,Random AI,Tree AI,"(2, 7)","(5, 1)",Black - Tree AI,34,3,35,38,-3,1615
38,Random AI,Tree AI,"(2, 6)","(5, 2)",Stalemate,34.5,3.5,0,38,-38,3634
39,Tree AI,Random AI,"(2, 7)","(5, 0)",White - Tree AI,35.5,3.5,39,31,8,943
40,Tree AI,Random AI,"(3, 1)","(4, 3)",White - Tree AI,36.5,3.5,38,9,29,5067
41,Random AI,Tree AI,"(3, 1)","(5, 4)",Stalemate,37,4,0,38,-38,5468
42,Random AI,Tree AI,"(3, 5)","(4, 5)",Black - Tree AI,38,4,14,37,-23,3531
43,Tree AI,Random AI,"(3, 3)","(5, 6)",Stalemate,38.5,4.5,36,1,35,6578
44,Tree AI,Random AI,"(3, 7)","(4, 2)",Stalemate,39,5,28,0,28,5759
45,Tree AI,Random AI,"(3, 6)","(4, 7)",White - Tree AI,40,5,38,16,22,5139
46,Tree AI,Random AI,"(2, 3)","(4, 2)",White - Tree AI,41,5,39,1,38,4853
47,Random AI,Tree AI,"(3, 7)","(4, 0)",Stalemate,41.5,5.5,2,38,-36,4417
48,Random AI,Tree AI,"(3, 1)","(4, 5)",Stalemate,42,6,0,24,-24,7751
49,Random AI,Tree AI,"(3, 1)","(5, 5)",Stalemate,42.5,6.5,0,38,-38,3597
50,Tree AI,Random AI,"(3, 5)","(4, 1)",White - Tree AI,43.5,6.5,36,12,24,3254
51,Tree AI,Random AI,"(3, 4)","(5, 0)",White - Tree AI,44.5,6.5,36,13,23,6353
52,Tree AI,Random AI,"(2, 1)","(4, 0)",White - Tree AI,45.5,6.5,39,21,18,949
53,Tree AI,Random AI,"(2, 6)","(5, 4)",White - Tree AI,46.5,6.5,38,22,16,2636
54,Tree AI,Random AI,"(3, 3)","(4, 4)",Stalemate,47,7,38,0,38,4312
55,Random AI,Tree AI,"(3, 3)","(5, 0)",Black - Tree AI,48,7,27,38,-11,2785
56,Tree AI,Random AI,"(2, 2)","(4, 1)",Stalemate,48.5,7.5,37,1,36,5829
57,Tree AI,Random AI,"(3, 6)","(5, 1)",White - Tree AI,49.5,7.5,36,29,7,3495
58,Tree AI,Random AI,"(3, 4)","(4, 1)",Stalemate,50,8,38,0,38,8332
