Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(3, 2)","(5, 1)",Stalemate,0.5,0.5,33,0,33,8675
2,Random AI,Tree AI,"(2, 5)","(5, 3)",Draw,1.0,1.0,4,38,-34,4475
3,Tree AI,Random AI,"(3, 2)","(5, 3)",White - Tree AI,2.0,1.0,37,1,36,4305
4,Random AI,Tree AI,"(3, 2)","(5, 2)",Black - Tree AI,3.0,1.0,11,35,-24,3599
5,Random AI,Tree AI,"(2, 7)","(5, 5)",Black - Tree AI,4.0,1.0,5,38,-33,3440
6,Tree AI,Random AI,"(2, 3)","(4, 4)",Stalemate,4.5,1.5,37,0,37,4112
7,Tree AI,Random AI,"(2, 4)","(4, 7)",White - Tree AI,5.5,1.5,34,16,18,5877
8,Tree AI,Random AI,"(2, 0)","(5, 0)",White - Tree AI,6.5,1.5,36,9,27,4029
9,Tree AI,Random AI,"(3, 6)","(5, 7)",Stalemate,7.0,2.0,36,0,36,5033
10,Tree AI,Random AI,"(3, 7)","(4, 2)",Stalemate,7.5,2.5,37,0,37,8222
11,Random AI,Tree AI,"(2, 4)","(5, 7)",Black - Tree AI,8.5,2.5,16,34,-18,3367
12,Tree AI,Random AI,"(3, 7)","(4, 3)",White - Tree AI,9.5,2.5,32,10,22,7832
13,Random AI,Tree AI,"(3, 3)","(5, 0)",Black - Tree AI,10.5,2.5,15,37,-22,2254
14,Tree AI,Random AI,"(3, 4)","(5, 4)",White - Tree AI,11.5,2.5,37,24,13,1665
15,Random AI,Tree AI,"(3, 5)","(5, 2)",Stalemate,12.0,3.0,0,38,-38,4696
16,Random AI,Tree AI,"(2, 0)","(5, 7)",Black - Tree AI,13.0,3.0,22,38,-16,3994
17,Tree AI,Random AI,"(3, 6)","(5, 4)",White - Tree AI,14.0,3.0,37,7,30,5095
18,Tree AI,Random AI,"(3, 7)","(5, 3)",Stalemate,14.5,3.5,34,0,34,4696
19,Tree AI,Random AI,"(3, 2)","(5, 5)",White - Tree AI,15.5,3.5,37,3,34,8218
20,Tree AI,Random AI,"(2, 7)","(4, 7)",White - Tree AI,16.5,3.5,36,8,28,3707
21,Random AI,Tree AI,"(3, 2)","(4, 6)",Stalemate,17.0,4.0,1,24,-23,5199
22,Random AI,Tree AI,"(2, 4)","(4, 2)",Black - Tree AI,18.0,4.0,17,38,-21,3534
23,Tree AI,Random AI,"(3, 5)","(5, 1)",White - Tree AI,19.0,4.0,37,1,36,5932
24,Tree AI,Random AI,"(2, 3)","(4, 3)",White - Tree AI,20.0,4.0,38,16,22,3471
25,Random AI,Tree AI,"(2, 4)","(5, 3)",Stalemate,20.5,4.5,0,36,-36,4961
26,Tree AI,Random AI,"(3, 0)","(5, 2)",White - Tree AI,21.5,4.5,37,11,26,3413
27,Random AI,Tree AI,"(2, 4)","(4, 3)",Black - Tree AI,22.5,4.5,4,37,-33,2464
28,Tree AI,Random AI,"(2, 5)","(4, 4)",White - Tree AI,23.5,4.5,38,37,1,1757
29,Random AI,Tree AI,"(3, 3)","(5, 7)",Black - Tree AI,24.5,4.5,3,37,-34,4232
30,Tree AI,Random AI,"(2, 1)","(4, 5)",Stalemate,25.0,5.0,37,0,37,3943
31,Tree AI,Random AI,"(3, 4)","(5, 0)",White - Tree AI,26.0,5.0,32,9,23,3760
32,Tree AI,Random AI,"(3, 6)","(5, 1)",Stalemate,26.5,5.5,37,0,37,4711
33,Random AI,Tree AI,"(3, 7)","(5, 7)",Black - Tree AI,27.5,5.5,15,38,-23,1552
34,Random AI,Tree AI,"(3, 3)","(4, 1)",Black - Tree AI,28.5,5.5,12,38,-26,4506
35,Tree AI,Random AI,"(3, 4)","(4, 1)",White - Tree AI,29.5,5.5,38,5,33,5396
