Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(2, 6)","(4, 1)",Stalemate,0.5,0.5,0,38,-38,4204
2,Tree AI,Random AI,"(2, 4)","(5, 6)",Stalemate,1.0,1.0,38,1,37,4952
3,Random AI,Tree AI,"(3, 3)","(5, 6)",Black - Tree AI,2.0,1.0,2,38,-36,6430
4,Tree AI,Random AI,"(3, 0)","(4, 4)",Stalemate,2.5,1.5,36,2,34,4579
5,Random AI,Tree AI,"(2, 5)","(4, 0)",Black - Tree AI,3.5,1.5,3,37,-34,3924
6,Random AI,Tree AI,"(2, 0)","(5, 3)",Stalemate,4.0,2.0,0,36,-36,3518
7,Tree AI,Random AI,"(3, 1)","(4, 4)",White - Tree AI,5.0,2.0,39,32,7,3115
8,Random AI,Tree AI,"(3, 1)","(4, 2)",Black - Tree AI,6.0,2.0,11,37,-26,4452
9,Random AI,Tree AI,"(2, 1)","(4, 0)",Black - Tree AI,7.0,2.0,21,37,-16,2104
10,Tree AI,Random AI,"(2, 1)","(5, 4)",White - Tree AI,8.0,2.0,38,7,31,8186
11,Tree AI,Random AI,"(3, 0)","(5, 7)",White - Tree AI,9.0,2.0,39,33,6,659
12,Random AI,Tree AI,"(3, 3)","(5, 3)",Black - Tree AI,10.0,2.0,29,38,-9,3579
13,Random AI,Tree AI,"(3, 1)","(5, 5)",Black - Tree AI,11.0,2.0,12,37,-25,6309
14,Random AI,Tree AI,"(2, 7)","(5, 6)",Black - Tree AI,12.0,2.0,7,37,-30,5663
15,Random AI,Tree AI,"(2, 5)","(4, 1)",Black - Tree AI,13.0,2.0,5,38,-33,3158
16,Tree AI,Random AI,"(3, 1)","(5, 1)",White - Tree AI,14.0,2.0,37,4,33,8203
17,Random AI,Tree AI,"(2, 5)","(4, 6)",Black - Tree AI,15.0,2.0,2,37,-35,5156
18,Random AI,Tree AI,"(2, 4)","(4, 3)",Stalemate,15.5,2.5,2,35,-33,5064
19,Tree AI,Random AI,"(2, 5)","(5, 3)",White - Tree AI,16.5,2.5,37,32,5,2776
20,Tree AI,Random AI,"(3, 4)","(4, 3)",White - Tree AI,17.5,2.5,33,0,33,6846
21,Random AI,Tree AI,"(3, 0)","(4, 3)",Black - Tree AI,18.5,2.5,12,35,-23,4719
22,Random AI,Tree AI,"(2, 5)","(4, 7)",Stalemate,19.0,3.0,2,37,-35,3644
23,Tree AI,Random AI,"(2, 3)","(5, 3)",White - Tree AI,20.0,3.0,33,3,30,8848
24,Tree AI,Random AI,"(3, 2)","(4, 2)",Stalemate,20.5,3.5,38,0,38,5080
25,Tree AI,Random AI,"(2, 2)","(4, 0)",White - Tree AI,21.5,3.5,36,11,25,5626
26,Tree AI,Random AI,"(2, 3)","(4, 7)",White - Tree AI,22.5,3.5,39,38,1,2218
27,Random AI,Tree AI,"(2, 6)","(4, 5)",Black - Tree AI,23.5,3.5,12,34,-22,3116
28,Random AI,Tree AI,"(2, 5)","(4, 5)",Black - Tree AI,24.5,3.5,3,36,-33,4114
29,Random AI,Tree AI,"(3, 3)","(5, 5)",Black - Tree AI,25.5,3.5,16,35,-19,2877
30,Random AI,Tree AI,"(3, 5)","(4, 7)",Stalemate,26.0,4.0,1,36,-35,3822
31,Tree AI,Random AI,"(2, 6)","(5, 2)",White - Tree AI,27.0,4.0,39,21,18,5279
32,Random AI,Tree AI,"(3, 4)","(5, 2)",Stalemate,27.5,4.5,1,38,-37,5491
33,Random AI,Tree AI,"(2, 0)","(5, 2)",Black - Tree AI,28.5,4.5,22,38,-16,1849
34,Random AI,Tree AI,"(3, 7)","(4, 4)",Black - Tree AI,29.5,4.5,23,37,-14,3034
35,Tree AI,Random AI,"(3, 5)","(5, 3)",Stalemate,30.0,5.0,38,0,38,8843
36,Tree AI,Random AI,"(3, 7)","(4, 7)",White - Tree AI,31.0,5.0,38,10,28,7509
37,Tree AI,Random AI,"(3, 3)","(5, 1)",White - Tree AI,32.0,5.0,39,12,27,2193
38,Tree AI,Random AI,"(3, 2)","(5, 7)",Stalemate,32.5,5.5,38,0,38,5226
39,Tree AI,Random AI,"(3, 5)","(5, 7)",Stalemate,33.0,6.0,36,2,34,6449
40,Tree AI,Random AI,"(3, 7)","(5, 2)",White - Tree AI,34.0,6.0,35,0,35,6051
41,Random AI,Tree AI,"(2, 2)","(5, 1)",Black - Tree AI,35.0,6.0,36,38,-2,469
42,Random AI,Tree AI,"(2, 5)","(4, 2)",Black - Tree AI,36.0,6.0,3,37,-34,4116
43,Tree AI,Random AI,"(3, 6)","(4, 1)",Stalemate,36.5,6.5,38,0,38,7544
44,Random AI,Tree AI,"(3, 5)","(4, 4)",Stalemate,37.0,7.0,1,37,-36,5053
45,Tree AI,Random AI,"(2, 3)","(5, 0)",White - Tree AI,38.0,7.0,38,4,34,5721
46,Random AI,Tree AI,"(2, 1)","(4, 3)",Black - Tree AI,39.0,7.0,12,37,-25,3321
47,Random AI,Tree AI,"(2, 1)","(4, 1)",Black - Tree AI,40.0,7.0,24,38,-14,1438
48,Random AI,Tree AI,"(3, 7)","(4, 5)",Black - Tree AI,41.0,7.0,10,34,-24,3739
49,Tree AI,Random AI,"(2, 3)","(4, 3)",White - Tree AI,42.0,7.0,34,0,34,5643
50,Random AI,Tree AI,"(3, 6)","(4, 0)",Black - Tree AI,43.0,7.0,8,33,-25,5996
