Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(3, 0)","(4, 5)",Black - Tree AI,1,0,1,37,-36,4425
2,Random AI,Tree AI,"(3, 2)","(5, 5)",Stalemate,1.5,0.5,0,37,-37,4441
3,Tree AI,Random AI,"(3, 6)","(5, 6)",White - Tree AI,2.5,0.5,36,23,13,4229
4,Tree AI,Random AI,"(3, 7)","(4, 2)",White - Tree AI,3.5,0.5,38,26,12,1633
5,Tree AI,Random AI,"(2, 7)","(4, 0)",White - Tree AI,4.5,0.5,38,37,1,907
6,Random AI,Tree AI,"(3, 2)","(5, 3)",Black - Tree AI,5.5,0.5,8,38,-30,4461
7,Random AI,Tree AI,"(2, 3)","(4, 2)",Stalemate,6.0,1.0,0,38,-38,7235
8,Tree AI,Random AI,"(2, 7)","(5, 2)",White - Tree AI,7.0,1.0,38,16,22,3089
9,Tree AI,Random AI,"(3, 7)","(5, 5)",White - Tree AI,8.0,1.0,36,3,33,5907
10,Random AI,Tree AI,"(3, 4)","(4, 7)",Stalemate,8.5,1.5,1,38,-37,5981
11,Random AI,Tree AI,"(2, 6)","(4, 6)",Black - Tree AI,9.5,1.5,21,39,-18,1886
12,Random AI,Tree AI,"(3, 2)","(4, 4)",Black - Tree AI,10.5,1.5,12,38,-26,2785
13,Random AI,Tree AI,"(2, 7)","(5, 7)",Black - Tree AI,11.5,1.5,7,38,-31,3335
14,Tree AI,Random AI,"(2, 6)","(4, 3)",Stalemate,12.0,2.0,36,0,36,14513
15,Tree AI,Random AI,"(3, 4)","(4, 2)",White - Tree AI,13.0,2.0,38,13,25,2079
16,Tree AI,Random AI,"(2, 2)","(5, 7)",White - Tree AI,14.0,2.0,35,4,31,4263
17,Random AI,Tree AI,"(3, 6)","(5, 2)",Stalemate,14.5,2.5,0,39,-39,2348
18,Tree AI,Random AI,"(3, 2)","(5, 6)",White - Tree AI,15.5,2.5,37,30,7,993
19,Tree AI,Random AI,"(2, 5)","(4, 4)",White - Tree AI,16.5,2.5,38,9,29,2542
20,Tree AI,Random AI,"(3, 3)","(4, 2)",Stalemate,17.0,3.0,38,0,38,3572
21,Tree AI,Random AI,"(2, 3)","(5, 5)",White - Tree AI,18.0,3.0,37,25,12,3851
22,Tree AI,Random AI,"(3, 3)","(4, 6)",Stalemate,18.5,3.5,38,1,37,4943
23,Random AI,Tree AI,"(3, 2)","(4, 6)",Stalemate,19.0,4.0,0,39,-39,7225
24,Tree AI,Random AI,"(2, 0)","(5, 0)",White - Tree AI,20.0,4.0,38,17,21,2479
25,Random AI,Tree AI,"(2, 7)","(5, 0)",Stalemate,20.5,4.5,1,35,-34,7015
26,Random AI,Tree AI,"(2, 7)","(5, 5)",Stalemate,21.0,5.0,1,37,-36,2651
27,Random AI,Tree AI,"(3, 4)","(4, 4)",Stalemate,21.5,5.5,1,38,-37,5320
28,Random AI,Tree AI,"(2, 0)","(4, 7)",Black - Tree AI,22.5,5.5,8,36,-28,3449
29,Random AI,Tree AI,"(2, 6)","(5, 5)",Stalemate,23.0,6.0,2,38,-36,5538
30,Tree AI,Random AI,"(2, 3)","(4, 5)",Stalemate,23.5,6.5,37,2,35,6799
31,Tree AI,Random AI,"(2, 0)","(5, 6)",White - Tree AI,24.5,6.5,37,2,35,7251
32,Tree AI,Random AI,"(3, 3)","(4, 1)",White - Tree AI,25.5,6.5,38,10,28,5733
33,Tree AI,Random AI,"(2, 2)","(5, 5)",Stalemate,26.0,7.0,29,1,28,4444
34,Tree AI,Random AI,"(3, 3)","(5, 7)",White - Tree AI,27.0,7.0,37,32,5,2948
35,Random AI,Tree AI,"(2, 0)","(4, 3)",Black - Tree AI,28.0,7.0,3,35,-32,5048
36,Tree AI,Random AI,"(3, 5)","(5, 0)",White - Tree AI,29.0,7.0,36,6,30,4654
37,Tree AI,Random AI,"(3, 3)","(4, 0)",White - Tree AI,30.0,7.0,35,1,34,8298
38,Tree AI,Random AI,"(3, 5)","(5, 5)",Stalemate,30.5,7.5,34,0,34,5519
