Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(2, 5)","(5, 6)",Stalemate,0.5,0.5,0,24,-24,8305
2,Tree AI,Random AI,"(2, 2)","(4, 3)",White - Tree AI,1.5,0.5,38,9,29,4610
3,Random AI,Tree AI,"(2, 5)","(4, 7)",Black - Tree AI,2.5,0.5,28,38,-10,2348
4,Random AI,Tree AI,"(3, 1)","(4, 3)",Black - Tree AI,3.5,0.5,8,37,-29,5505
5,Random AI,Tree AI,"(3, 1)","(5, 1)",Stalemate,4.0,1.0,0,36,-36,4910
6,Random AI,Tree AI,"(3, 7)","(5, 1)",Stalemate,4.5,1.5,1,38,-37,3717
7,Tree AI,Random AI,"(3, 3)","(5, 4)",Stalemate,5.0,2.0,35,1,34,8095
8,Tree AI,Random AI,"(2, 5)","(5, 7)",White - Tree AI,6.0,2.0,35,2,33,8469
9,Tree AI,Random AI,"(2, 3)","(5, 5)",White - Tree AI,7.0,2.0,29,0,29,7977
10,Tree AI,Random AI,"(2, 5)","(4, 3)",Stalemate,7.5,2.5,37,0,37,4400
11,Random AI,Tree AI,"(2, 2)","(5, 1)",Stalemate,8.0,3.0,0,35,-35,5317
12,Tree AI,Random AI,"(2, 4)","(4, 6)",White - Tree AI,9.0,3.0,38,11,27,4263
13,Random AI,Tree AI,"(3, 2)","(5, 7)",Black - Tree AI,10.0,3.0,4,38,-34,7402
14,Random AI,Tree AI,"(2, 6)","(5, 2)",Black - Tree AI,11.0,3.0,18,38,-20,1942
15,Random AI,Tree AI,"(3, 3)","(4, 5)",Stalemate,11.5,3.5,0,38,-38,3790
16,Tree AI,Random AI,"(2, 1)","(4, 1)",White - Tree AI,12.5,3.5,37,21,16,6252
17,Random AI,Tree AI,"(3, 4)","(4, 2)",Stalemate,13.0,4.0,1,38,-37,5171
18,Tree AI,Random AI,"(2, 3)","(5, 7)",White - Tree AI,14.0,4.0,38,7,31,11203
