Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(3, 2)","(5, 1)",Black - Tree AI,1,0,11,38,-27,3654
2,Random AI,Tree AI,"(2, 5)","(5, 3)",Black - Tree AI,2,0,10,39,-29,2476
3,Tree AI,Random AI,"(3, 2)","(5, 3)",White - Tree AI,3,0,36,2,34,5926
4,Tree AI,Random AI,"(3, 2)","(5, 2)",Stalemate,3.5,0.5,37,2,35,7047
5,Random AI,Tree AI,"(2, 7)","(5, 5)",Stalemate,4.0,1.0,2,38,-36,4125
6,Tree AI,Random AI,"(2, 3)","(4, 4)",Stalemate,4.5,1.5,38,1,37,3197
7,Tree AI,Random AI,"(2, 4)","(4, 7)",White - Tree AI,5.5,1.5,36,3,33,5967
8,Tree AI,Random AI,"(2, 0)","(5, 0)",White - Tree AI,6.5,1.5,37,6,31,4455
9,Random AI,Tree AI,"(3, 6)","(5, 7)",Black - Tree AI,7.5,1.5,14,37,-23,2793
10,Random AI,Tree AI,"(3, 7)","(4, 2)",Black - Tree AI,8.5,1.5,7,39,-32,2762
11,Random AI,Tree AI,"(2, 4)","(5, 7)",Black - Tree AI,9.5,1.5,2,38,-36,5991
12,Tree AI,Random AI,"(3, 7)","(4, 3)",White - Tree AI,10.5,1.5,38,11,27,3910
13,Tree AI,Random AI,"(3, 3)","(5, 0)",Stalemate,11.0,2.0,37,0,37,6860
14,Tree AI,Random AI,"(3, 4)","(5, 4)",Stalemate,11.5,2.5,28,0,28,9226
15,Random AI,Tree AI,"(3, 5)","(5, 2)",Stalemate,12.0,3.0,3,39,-36,2874
16,Tree AI,Random AI,"(2, 0)","(5, 7)",White - Tree AI,13.0,3.0,36,11,25,3626
17,Random AI,Tree AI,"(3, 6)","(5, 4)",Black - Tree AI,14.0,3.0,1,38,-37,4870
18,Tree AI,Random AI,"(3, 7)","(5, 3)",White - Tree AI,15.0,3.0,36,6,30,8075
19,Tree AI,Random AI,"(3, 2)","(5, 5)",White - Tree AI,16.0,3.0,38,38,0,582
20,Random AI,Tree AI,"(2, 7)","(4, 7)",Black - Tree AI,17.0,3.0,14,37,-23,3534
21,Tree AI,Random AI,"(3, 2)","(4, 6)",White - Tree AI,18.0,3.0,38,9,29,2965
22,Tree AI,Random AI,"(2, 4)","(4, 2)",White - Tree AI,19.0,3.0,38,37,1,1769
23,Random AI,Tree AI,"(3, 5)","(5, 1)",Black - Tree AI,20.0,3.0,12,39,-27,5867
24,Tree AI,Random AI,"(2, 3)","(4, 3)",White - Tree AI,21.0,3.0,38,6,32,2940
25,Random AI,Tree AI,"(2, 4)","(5, 3)",Black - Tree AI,22.0,3.0,4,38,-34,4646
26,Random AI,Tree AI,"(3, 0)","(5, 2)",Stalemate,22.5,3.5,0,39,-39,3553
27,Tree AI,Random AI,"(2, 4)","(4, 3)",White - Tree AI,23.5,3.5,38,13,25,7420
28,Random AI,Tree AI,"(2, 5)","(4, 4)",Black - Tree AI,24.5,3.5,14,39,-25,2696
29,Tree AI,Random AI,"(3, 3)","(5, 7)",Stalemate,25.0,4.0,29,1,28,8807
30,Random AI,Tree AI,"(2, 1)","(4, 5)",Stalemate,25.5,4.5,0,36,-36,4587
31,Tree AI,Random AI,"(3, 4)","(5, 0)",White - Tree AI,26.5,4.5,34,0,34,6629
32,Tree AI,Random AI,"(3, 6)","(5, 1)",White - Tree AI,27.5,4.5,38,2,36,6703
33,Tree AI,Random AI,"(3, 7)","(5, 7)",White - Tree AI,28.5,4.5,32,6,26,6509
34,Tree AI,Random AI,"(3, 3)","(4, 1)",White - Tree AI,29.5,4.5,36,7,29,5403
35,Tree AI,Random AI,"(3, 4)","(4, 1)",White - Tree AI,30.5,4.5,35,8,27,4537
36,Tree AI,Random AI,"(2, 4)","(5, 5)",White - Tree AI,31.5,4.5,28,6,22,6152
37,Tree AI,Random AI,"(3, 4)","(4, 5)",White - Tree AI,32.5,4.5,36,5,31,7699
38,Random AI,Tree AI,"(2, 2)","(5, 5)",Black - Tree AI,33.5,4.5,24,39,-15,5530
39,Random AI,Tree AI,"(3, 7)","(4, 6)",Black - Tree AI,34.5,4.5,5,35,-30,5687
40,Random AI,Tree AI,"(3, 7)","(5, 2)",Stalemate,35.0,5.0,0,35,-35,3922
