Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(2, 6)","(4, 1)",Black - Tree AI,1,0,10,33,-23,3241
2,Tree AI,Random AI,"(2, 4)","(5, 6)",Stalemate,1.5,0.5,37,0,37,7760
3,Tree AI,Random AI,"(3, 3)","(5, 6)",White - Tree AI,2.5,0.5,35,1,34,10980
4,Tree AI,Random AI,"(3, 0)","(4, 4)",White - Tree AI,3.5,0.5,38,4,34,2967
5,Random AI,Tree AI,"(2, 5)","(4, 0)",Black - Tree AI,4.5,0.5,15,38,-23,2249
6,Tree AI,Random AI,"(2, 0)","(5, 3)",White - Tree AI,5.5,0.5,38,32,6,1772
7,Tree AI,Random AI,"(3, 1)","(4, 4)",White - Tree AI,6.5,0.5,38,2,36,8373
8,Random AI,Tree AI,"(3, 1)","(4, 2)",Black - Tree AI,7.5,0.5,14,38,-24,2658
9,Tree AI,Random AI,"(2, 1)","(4, 0)",Stalemate,8.0,1.0,38,0,38,4887
10,Random AI,Tree AI,"(2, 1)","(5, 4)",Black - Tree AI,9.0,1.0,12,31,-19,3479
11,Random AI,Tree AI,"(3, 0)","(5, 7)",Stalemate,9.5,1.5,0,35,-35,3593
12,Random AI,Tree AI,"(3, 3)","(5, 3)",Black - Tree AI,10.5,1.5,10,38,-28,3990
13,Random AI,Tree AI,"(3, 1)","(5, 5)",Black - Tree AI,11.5,1.5,16,35,-19,4951
14,Random AI,Tree AI,"(2, 7)","(5, 6)",Black - Tree AI,12.5,1.5,9,37,-28,3989
15,Random AI,Tree AI,"(2, 5)","(4, 1)",Black - Tree AI,13.5,1.5,15,38,-23,2497
16,Random AI,Tree AI,"(3, 1)","(5, 1)",Black - Tree AI,14.5,1.5,16,38,-22,1783
17,Random AI,Tree AI,"(2, 5)","(4, 6)",Black - Tree AI,15.5,1.5,6,37,-31,2336
18,Random AI,Tree AI,"(2, 4)","(4, 3)",Black - Tree AI,16.5,1.5,5,38,-33,3237
19,Tree AI,Random AI,"(2, 5)","(5, 3)",White - Tree AI,17.5,1.5,37,13,24,10195
20,Random AI,Tree AI,"(3, 4)","(4, 3)",Black - Tree AI,18.5,1.5,21,38,-17,4958
21,Random AI,Tree AI,"(3, 0)","(4, 3)",Black - Tree AI,19.5,1.5,8,37,-29,3042
22,Random AI,Tree AI,"(2, 5)","(4, 7)",Black - Tree AI,20.5,1.5,2,38,-36,4530
23,Tree AI,Random AI,"(2, 3)","(5, 3)",White - Tree AI,21.5,1.5,36,10,26,7310
24,Tree AI,Random AI,"(3, 2)","(4, 2)",White - Tree AI,22.5,1.5,36,4,32,7970
25,Random AI,Tree AI,"(2, 2)","(4, 0)",Black - Tree AI,23.5,1.5,6,37,-31,3892
26,Tree AI,Random AI,"(2, 3)","(4, 7)",Stalemate,24.0,2.0,38,0,38,6632
27,Tree AI,Random AI,"(2, 6)","(4, 5)",Stalemate,24.5,2.5,37,1,36,6363
