Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(3, 2)","(5, 7)",Black - Tree AI,1,0,2,38,-36,4450
2,Tree AI,Random AI,"(2, 0)","(5, 7)",White - Tree AI,2,0,39,13,26,1744
3,Tree AI,Random AI,"(3, 3)","(4, 7)",White - Tree AI,3,0,36,1,35,7287
4,Tree AI,Random AI,"(2, 3)","(4, 1)",White - Tree AI,4,0,39,28,11,3479
5,Random AI,Tree AI,"(3, 6)","(4, 2)",Black - Tree AI,5,0,11,39,-28,4093
6,Random AI,Tree AI,"(2, 4)","(4, 3)",Stalemate,5.5,0.5,0,37,-37,6200
7,Tree AI,Random AI,"(2, 6)","(5, 7)",White - Tree AI,6.5,0.5,39,23,16,1241
8,Tree AI,Random AI,"(3, 2)","(4, 3)",Stalemate,7.0,1.0,36,1,35,13791
9,Random AI,Tree AI,"(2, 4)","(4, 4)",Black - Tree AI,8.0,1.0,1,39,-38,4460
10,Random AI,Tree AI,"(2, 0)","(4, 1)",Stalemate,8.5,1.5,0,37,-37,3782
11,Tree AI,Random AI,"(2, 0)","(5, 4)",Stalemate,9.0,2.0,30,1,29,6201
12,Random AI,Tree AI,"(2, 3)","(4, 0)",Black - Tree AI,10.0,2.0,11,38,-27,3580
13,Random AI,Tree AI,"(2, 6)","(4, 7)",Black - Tree AI,11.0,2.0,10,38,-28,6137
14,Tree AI,Random AI,"(3, 3)","(5, 0)",White - Tree AI,12.0,2.0,39,26,13,2268
15,Tree AI,Random AI,"(3, 7)","(5, 5)",White - Tree AI,13.0,2.0,39,1,38,6884
16,Tree AI,Random AI,"(3, 1)","(5, 3)",Stalemate,13.5,2.5,36,1,35,13829
17,Random AI,Tree AI,"(3, 4)","(4, 5)",Stalemate,14.0,3.0,0,39,-39,5745
18,Tree AI,Random AI,"(2, 2)","(4, 1)",White - Tree AI,15.0,3.0,39,0,39,5165
19,Random AI,Tree AI,"(3, 6)","(4, 7)",Stalemate,15.5,3.5,0,38,-38,4793
20,Tree AI,Random AI,"(2, 3)","(5, 4)",White - Tree AI,16.5,3.5,36,7,29,4098
21,Random AI,Tree AI,"(2, 3)","(5, 0)",Black - Tree AI,17.5,3.5,2,38,-36,2513
22,Random AI,Tree AI,"(2, 6)","(4, 1)",Black - Tree AI,18.5,3.5,10,36,-26,6308
23,Tree AI,Random AI,"(3, 0)","(5, 4)",Stalemate,19.0,4.0,37,0,37,5077
24,Tree AI,Random AI,"(3, 6)","(5, 7)",Stalemate,19.5,4.5,38,0,38,5187
25,Tree AI,Random AI,"(3, 0)","(5, 5)",Stalemate,20.0,5.0,38,0,38,6585
26,Tree AI,Random AI,"(3, 5)","(4, 3)",White - Tree AI,21.0,5.0,38,6,32,6371
27,Tree AI,Random AI,"(2, 7)","(4, 3)",White - Tree AI,22.0,5.0,39,38,1,389
28,Tree AI,Random AI,"(2, 4)","(5, 4)",White - Tree AI,23.0,5.0,35,12,23,7065
29,Random AI,Tree AI,"(3, 2)","(4, 0)",Stalemate,23.5,5.5,0,37,-37,5276
30,Random AI,Tree AI,"(2, 2)","(4, 6)",Stalemate,24.0,6.0,1,38,-37,3851
31,Random AI,Tree AI,"(2, 0)","(5, 1)",Black - Tree AI,25.0,6.0,6,36,-30,8294
32,Tree AI,Random AI,"(3, 4)","(5, 6)",White - Tree AI,26.0,6.0,39,29,10,1363
33,Tree AI,Random AI,"(3, 7)","(4, 1)",Stalemate,26.5,6.5,38,1,37,8525
34,Random AI,Tree AI,"(3, 2)","(5, 1)",Stalemate,27.0,7.0,0,35,-35,7730
35,Random AI,Tree AI,"(3, 6)","(4, 3)",Black - Tree AI,28.0,7.0,10,39,-29,3754
36,Tree AI,Random AI,"(3, 5)","(5, 0)",White - Tree AI,29.0,7.0,37,3,34,5871
37,Random AI,Tree AI,"(2, 7)","(5, 4)",Black - Tree AI,30.0,7.0,13,39,-26,3700
38,Random AI,Tree AI,"(3, 6)","(5, 4)",Stalemate,30.5,7.5,1,38,-37,3983
39,Random AI,Tree AI,"(3, 5)","(5, 1)",Black - Tree AI,31.5,7.5,26,39,-13,1514
40,Tree AI,Random AI,"(2, 0)","(5, 0)",White - Tree AI,32.5,7.5,38,3,35,2735
41,Tree AI,Random AI,"(2, 4)","(5, 7)",White - Tree AI,33.5,7.5,36,18,18,3516
42,Tree AI,Random AI,"(2, 1)","(4, 0)",White - Tree AI,34.5,7.5,39,11,28,7900
43,Tree AI,Random AI,"(3, 4)","(5, 2)",Stalemate,35.0,8.0,39,0,39,5816
44,Tree AI,Random AI,"(2, 5)","(5, 6)",White - Tree AI,36.0,8.0,37,1,36,4455
45,Tree AI,Random AI,"(3, 0)","(4, 0)",White - Tree AI,37.0,8.0,39,35,4,781
46,Tree AI,Random AI,"(2, 0)","(5, 3)",White - Tree AI,38.0,8.0,39,14,25,4602
47,Random AI,Tree AI,"(3, 4)","(4, 4)",Black - Tree AI,39.0,8.0,1,34,-33,4617
48,Random AI,Tree AI,"(3, 3)","(5, 7)",Stalemate,39.5,8.5,1,39,-38,5001
49,Random AI,Tree AI,"(3, 5)","(5, 3)",Black - Tree AI,40.5,8.5,16,39,-23,5164
50,Random AI,Tree AI,"(3, 6)","(4, 5)",Stalemate,41.0,9.0,1,39,-38,4507
51,Random AI,Tree AI,"(2, 5)","(5, 5)",Stalemate,41.5,9.5,0,38,-38,3855
52,Tree AI,Random AI,"(3, 0)","(4, 1)",White - Tree AI,42.5,9.5,38,1,37,7634
53,Random AI,Tree AI,"(2, 4)","(4, 2)",Draw,43.0,10.0,9,39,-30,5392
54,Tree AI,Random AI,"(2, 6)","(5, 1)",Stalemate,43.5,10.5,32,1,31,7028
55,Tree AI,Random AI,"(3, 6)","(5, 0)",White - Tree AI,44.5,10.5,39,3,36,4425
56,Random AI,Tree AI,"(2, 2)","(5, 7)",Black - Tree AI,45.5,10.5,2,37,-35,4799
57,Random AI,Tree AI,"(3, 2)","(5, 0)",Stalemate,46.0,11.0,1,27,-26,4546
58,Random AI,Tree AI,"(2, 6)","(5, 6)",Black - Tree AI,47.0,11.0,25,39,-14,2034
59,Tree AI,Random AI,"(3, 0)","(5, 2)",White - Tree AI,48.0,11.0,35,8,27,10921
60,Random AI,Tree AI,"(3, 0)","(5, 3)",Black - Tree AI,49.0,11.0,7,38,-31,4354
61,Tree AI,Random AI,"(2, 3)","(5, 6)",White - Tree AI,50.0,11.0,39,9,30,4091
62,Random AI,Tree AI,"(3, 6)","(4, 4)",Black - Tree AI,51.0,11.0,10,38,-28,3476
63,Tree AI,Random AI,"(3, 5)","(5, 5)",White - Tree AI,52.0,11.0,39,0,39,4167
64,Random AI,Tree AI,"(3, 0)","(4, 6)",Stalemate,52.5,11.5,1,33,-32,7086
65,Tree AI,Random AI,"(3, 6)","(4, 1)",White - Tree AI,53.5,11.5,37,34,3,11975
66,Random AI,Tree AI,"(2, 2)","(5, 0)",Black - Tree AI,54.5,11.5,2,39,-37,4179
67,Random AI,Tree AI,"(3, 5)","(4, 0)",Black - Tree AI,55.5,11.5,7,38,-31,5657
68,Tree AI,Random AI,"(2, 1)","(5, 2)",White - Tree AI,56.5,11.5,39,39,0,629
69,Random AI,Tree AI,"(3, 6)","(4, 0)",Black - Tree AI,57.5,11.5,14,38,-24,3544
70,Tree AI,Random AI,"(3, 4)","(4, 7)",Stalemate,58.0,12.0,36,1,35,11844
71,Random AI,Tree AI,"(2, 7)","(5, 0)",Black - Tree AI,59.0,12.0,1,37,-36,4281
72,Tree AI,Random AI,"(3, 1)","(5, 0)",White - Tree AI,60.0,12.0,37,1,36,7056
73,Tree AI,Random AI,"(3, 0)","(5, 6)",White - Tree AI,61.0,12.0,36,0,36,6512
74,Tree AI,Random AI,"(2, 7)","(5, 7)",White - Tree AI,62.0,12.0,39,12,27,5399
75,Tree AI,Random AI,"(2, 0)","(4, 3)",Stalemate,62.5,12.5,28,2,26,6873
76,Tree AI,Random AI,"(3, 4)","(4, 1)",White - Tree AI,63.5,12.5,35,18,17,5716
77,Random AI,Tree AI,"(3, 1)","(4, 5)",Black - Tree AI,64.5,12.5,10,39,-29,4926
78,Random AI,Tree AI,"(2, 5)","(5, 7)",Black - Tree AI,65.5,12.5,0,37,-37,4821
79,Tree AI,Random AI,"(3, 4)","(5, 7)",White - Tree AI,66.5,12.5,39,11,28,3146
80,Random AI,Tree AI,"(3, 0)","(5, 0)",Stalemate,67.0,13.0,1,27,-26,5493
81,Random AI,Tree AI,"(3, 7)","(5, 4)",Black - Tree AI,68.0,13.0,14,37,-23,2812
82,Random AI,Tree AI,"(3, 4)","(5, 3)",Black - Tree AI,69.0,13.0,17,39,-22,5140
83,Tree AI,Random AI,"(2, 2)","(5, 1)",Stalemate,69.5,13.5,28,1,27,8554
84,Random AI,Tree AI,"(2, 1)","(5, 3)",Black - Tree AI,70.5,13.5,6,38,-32,2555
85,Tree AI,Random AI,"(3, 0)","(4, 4)",Stalemate,71.0,14.0,35,2,33,6480
86,Random AI,Tree AI,"(2, 5)","(5, 4)",Stalemate,71.5,14.5,0,38,-38,3409
87,Tree AI,Random AI,"(3, 7)","(5, 0)",White - Tree AI,72.5,14.5,36,1,35,3552
88,Random AI,Tree AI,"(3, 1)","(5, 2)",Black - Tree AI,73.5,14.5,4,34,-30,3271
89,Tree AI,Random AI,"(3, 7)","(4, 4)",White - Tree AI,74.5,14.5,38,12,26,10115
90,Random AI,Tree AI,"(3, 0)","(4, 3)",Black - Tree AI,75.5,14.5,18,39,-21,2317
91,Random AI,Tree AI,"(2, 4)","(5, 0)",Stalemate,76.0,15.0,0,39,-39,3767
92,Random AI,Tree AI,"(2, 1)","(5, 7)",Black - Tree AI,77.0,15.0,18,39,-21,3338
93,Random AI,Tree AI,"(2, 2)","(5, 3)",Stalemate,77.5,15.5,0,25,-25,7267
94,Random AI,Tree AI,"(2, 1)","(4, 5)",Black - Tree AI,78.5,15.5,18,38,-20,2258
95,Random AI,Tree AI,"(2, 5)","(4, 6)",Black - Tree AI,79.5,15.5,10,36,-26,3240
96,Random AI,Tree AI,"(2, 3)","(5, 2)",Stalemate,80.0,16.0,1,33,-32,4551
97,Random AI,Tree AI,"(2, 5)","(5, 1)",Stalemate,80.5,16.5,0,33,-33,4409
98,Tree AI,Random AI,"(3, 1)","(4, 6)",White - Tree AI,81.5,16.5,38,4,34,4294
99,Tree AI,Random AI,"(2, 4)","(5, 1)",White - Tree AI,82.5,16.5,34,1,33,7408
100,Random AI,Tree AI,"(3, 4)","(4, 0)",Black - Tree AI,83.5,16.5,7,37,-30,3915
