Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Random AI,Tree AI,"(2, 6)","(4, 1)",Black - Tree AI,1,0,0,39,-39,2947
2,Tree AI,Random AI,"(2, 4)","(5, 6)",White - Tree AI,2,0,37,1,36,4990
3,Random AI,Tree AI,"(3, 3)","(5, 6)",Stalemate,2.5,0.5,0,37,-37,5370
4,Tree AI,Random AI,"(3, 0)","(4, 4)",White - Tree AI,3.5,0.5,38,2,36,7498
5,Random AI,Tree AI,"(2, 5)","(4, 0)",Black - Tree AI,4.5,0.5,14,39,-25,5224
6,Random AI,Tree AI,"(2, 0)","(5, 3)",Stalemate,5.0,1.0,1,31,-30,6964
7,Tree AI,Random AI,"(3, 1)","(4, 4)",Stalemate,5.5,1.5,37,1,36,6216
8,Random AI,Tree AI,"(3, 1)","(4, 2)",Black - Tree AI,6.5,1.5,8,39,-31,7395
9,Tree AI,Random AI,"(2, 1)","(4, 0)",White - Tree AI,7.5,1.5,35,30,5,2670
10,Tree AI,Random AI,"(2, 1)","(5, 4)",White - Tree AI,8.5,1.5,38,32,6,2889
11,Tree AI,Random AI,"(3, 0)","(5, 7)",White - Tree AI,9.5,1.5,32,0,32,3436
12,Random AI,Tree AI,"(3, 3)","(5, 3)",Stalemate,10.0,2.0,0,38,-38,6143
13,Random AI,Tree AI,"(3, 1)","(5, 5)",Black - Tree AI,11.0,2.0,9,36,-27,5426
14,Random AI,Tree AI,"(2, 7)","(5, 6)",Black - Tree AI,12.0,2.0,2,38,-36,4806
15,Tree AI,Random AI,"(2, 5)","(4, 1)",White - Tree AI,13.0,2.0,36,3,33,6312
16,Random AI,Tree AI,"(3, 1)","(5, 1)",Stalemate,13.5,2.5,1,34,-33,4613
17,Tree AI,Random AI,"(2, 5)","(4, 6)",Stalemate,14.0,3.0,32,2,30,6369
18,Tree AI,Random AI,"(2, 4)","(4, 3)",White - Tree AI,15.0,3.0,35,1,34,3096
19,Random AI,Tree AI,"(2, 5)","(5, 3)",Stalemate,15.5,3.5,0,37,-37,6521
