Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
91,Tree AI,Random AI,"(3, 6)","(4, 4)",White - Tree AI,79.0,12.0,38,19,19,3949
92,Random AI,Tree AI,"(2, 4)","(4, 5)",Stalemate,79.5,12.5,2,39,-37,4205
93,Tree AI,Random AI,"(2, 0)","(5, 7)",White - Tree AI,80.5,12.5,38,36,2,1413
94,Random AI,Tree AI,"(3, 2)","(4, 0)",Black - Tree AI,81.5,12.5,30,38,-8,5091
95,Tree AI,Random AI,"(2, 4)","(5, 1)",White - Tree AI,82.5,12.5,38,18,20,2836
96,Tree AI,Random AI,"(3, 0)","(4, 0)",White - Tree AI,83.5,12.5,37,26,11,6396
97,Tree AI,Random AI,"(3, 2)","(4, 7)",White - Tree AI,84.5,12.5,37,8,29,2679
98,Random AI,Tree AI,"(3, 1)","(4, 7)",Black - Tree AI,85.5,12.5,3,37,-34,2776
99,Tree AI,Random AI,"(3, 7)","(5, 5)",White - Tree AI,86.5,12.5,37,0,37,9376
100,Tree AI,Random AI,"(2, 3)","(4, 4)",White - Tree AI,87.5,12.5,34,13,21,5999
